[s],CH2[V]
1.63000E-06,4.893255212E-02
1.64000E-06,4.913053396E-02
1.65000E-06,4.896588590E-02
1.66000E-06,4.877688004E-02
1.67000E-06,4.788204166E-02
1.68000E-06,4.762852450E-02
1.69000E-06,4.773164912E-02
1.70000E-06,4.740927286E-02
1.71000E-06,4.798897431E-02
1.72000E-06,4.835435843E-02
1.73000E-06,4.757617636E-02
1.74000E-06,4.686191336E-02
1.75000E-06,4.799512932E-02
1.76000E-06,4.867504288E-02
1.77000E-06,4.838617968E-02
1.78000E-06,4.806865189E-02
1.79000E-06,4.859687877E-02
1.80000E-06,4.866356922E-02
1.81000E-06,4.887298657E-02
1.82000E-06,4.900171258E-02
1.83000E-06,4.905449846E-02
1.84000E-06,4.995157988E-02
1.85000E-06,4.991929991E-02
1.86000E-06,5.026458534E-02
1.87000E-06,5.047522912E-02
1.88000E-06,4.899674489E-02
1.89000E-06,4.779012653E-02
1.90000E-06,4.838974070E-02
1.91000E-06,4.942821102E-02
1.92000E-06,4.941518383E-02
1.93000E-06,4.909454706E-02
1.94000E-06,4.945480995E-02
1.95000E-06,4.885252740E-02
1.96000E-06,4.842934203E-02
1.97000E-06,4.806985543E-02
1.98000E-06,4.735551900E-02
1.99000E-06,4.758286162E-02
2.00000E-06,4.769117423E-02
2.01000E-06,4.805737660E-02
2.02000E-06,4.901693704E-02
2.03000E-06,4.820907758E-02
2.04000E-06,4.697175948E-02
2.05000E-06,4.746056909E-02
2.06000E-06,4.859376026E-02
2.07000E-06,4.863510013E-02
2.08000E-06,4.846968913E-02
2.09000E-06,4.927817992E-02
2.10000E-06,4.970636254E-02
2.11000E-06,4.989212496E-02
2.12000E-06,4.964494019E-02
2.13000E-06,4.920342711E-02
2.14000E-06,4.963338929E-02
2.15000E-06,4.995834524E-02
2.16000E-06,5.079739844E-02
2.17000E-06,5.188609783E-02
2.18000E-06,5.146094789E-02
2.19000E-06,5.017477592E-02
2.20000E-06,4.993112547E-02
2.21000E-06,5.036784252E-02
2.22000E-06,5.008862670E-02
2.23000E-06,4.910227659E-02
2.24000E-06,4.887590768E-02
2.25000E-06,4.910308435E-02
2.26000E-06,4.877882553E-02
2.27000E-06,4.887181546E-02
2.28000E-06,4.801083920E-02
2.29000E-06,4.815775369E-02
2.30000E-06,4.823393892E-02
2.31000E-06,4.812416528E-02
2.32000E-06,4.889946916E-02
2.33000E-06,4.808214925E-02
2.34000E-06,4.643489041E-02
2.35000E-06,4.654373994E-02
2.36000E-06,4.778388282E-02
2.37000E-06,4.895792272E-02
2.38000E-06,4.867992855E-02
2.39000E-06,4.893290593E-02
2.40000E-06,4.933771686E-02
2.41000E-06,4.871019150E-02
2.42000E-06,4.785822937E-02
2.43000E-06,4.663490644E-02
2.44000E-06,4.620812000E-02
2.45000E-06,4.647278752E-02
2.46000E-06,4.718081063E-02
2.47000E-06,4.869775654E-02
2.48000E-06,4.937762622E-02
2.49000E-06,4.816495775E-02
2.50000E-06,4.777635356E-02
2.51000E-06,4.877531411E-02
2.52000E-06,4.990541059E-02
2.53000E-06,4.953899269E-02
2.54000E-06,4.926005534E-02
2.55000E-06,4.948890571E-02
2.56000E-06,4.939739780E-02
2.57000E-06,4.929054431E-02
2.58000E-06,4.860344959E-02
2.59000E-06,4.823227380E-02
2.60000E-06,4.898545720E-02
2.61000E-06,4.950348549E-02
2.62000E-06,5.075252997E-02
2.63000E-06,5.148014250E-02
2.64000E-06,4.978284913E-02
2.65000E-06,4.870997883E-02
2.66000E-06,4.862157894E-02
2.67000E-06,4.956119805E-02
2.68000E-06,4.891414811E-02
2.69000E-06,4.822489809E-02
2.70000E-06,4.879660965E-02
2.71000E-06,4.898459985E-02
2.72000E-06,4.900035551E-02
2.73000E-06,4.925441149E-02
2.74000E-06,4.905311945E-02
2.75000E-06,4.983850748E-02
2.76000E-06,4.992492945E-02
2.77000E-06,5.046844754E-02
2.78000E-06,5.081271159E-02
2.79000E-06,4.932102946E-02
2.80000E-06,4.819630884E-02
2.81000E-06,4.869312550E-02
2.82000E-06,4.950695782E-02
2.83000E-06,5.013483699E-02
2.84000E-06,4.966052228E-02
2.85000E-06,5.002748950E-02
2.86000E-06,5.041392312E-02
2.87000E-06,4.995922358E-02
2.88000E-06,4.981890470E-02
2.89000E-06,4.882055069E-02
2.90000E-06,4.886463906E-02
2.91000E-06,4.920280341E-02
2.92000E-06,4.929350833E-02
2.93000E-06,4.943408565E-02
2.94000E-06,4.867054058E-02
2.95000E-06,4.764009162E-02
2.96000E-06,4.807977174E-02
2.97000E-06,4.932531432E-02
2.98000E-06,4.988789160E-02
2.99000E-06,4.953208523E-02
3.00000E-06,4.957556134E-02
3.01000E-06,5.015965160E-02
3.02000E-06,5.023609050E-02
3.03000E-06,4.991173155E-02
3.04000E-06,4.939319496E-02
3.05000E-06,4.981360322E-02
3.06000E-06,5.016981681E-02
3.07000E-06,5.091279017E-02
3.08000E-06,5.154709711E-02
3.09000E-06,5.072421442E-02
3.10000E-06,4.925747756E-02
3.11000E-06,4.898654153E-02
3.12000E-06,4.969904214E-02
3.13000E-06,5.030998405E-02
3.14000E-06,4.982368547E-02
3.15000E-06,4.975886899E-02
3.16000E-06,5.042715535E-02
3.17000E-06,5.011363204E-02
3.18000E-06,4.965758019E-02
3.19000E-06,4.921570948E-02
3.20000E-06,4.946162681E-02
3.21000E-06,4.964126568E-02
3.22000E-06,5.021339305E-02
3.23000E-06,5.114996327E-02
3.24000E-06,5.066662489E-02
3.25000E-06,4.887864472E-02
3.26000E-06,4.854090381E-02
3.27000E-06,4.915547827E-02
3.28000E-06,4.974635774E-02
3.29000E-06,4.957816391E-02
3.30000E-06,4.854752040E-02
3.31000E-06,4.830152201E-02
3.32000E-06,4.823896955E-02
3.33000E-06,4.832563662E-02
3.34000E-06,4.774739524E-02
3.35000E-06,4.781266090E-02
3.36000E-06,4.902898195E-02
3.37000E-06,5.002002318E-02
3.38000E-06,5.090070331E-02
3.39000E-06,5.034466538E-02
3.40000E-06,4.844812369E-02
3.41000E-06,4.765951415E-02
3.42000E-06,4.778505489E-02
3.43000E-06,4.839260554E-02
3.44000E-06,4.816526769E-02
3.45000E-06,4.759360285E-02
3.46000E-06,4.806988976E-02
3.47000E-06,4.848084807E-02
3.48000E-06,4.850899768E-02
3.49000E-06,4.834576582E-02
3.50000E-06,4.752616091E-02
3.51000E-06,4.823073839E-02
3.52000E-06,4.911701468E-02
3.53000E-06,5.016054328E-02
3.54000E-06,5.038029560E-02
